Date,MF_Equity_Gross_Purchase,MF_Equity_Gross_Sales,MF_Equity_Net_Purchase_Sales,MF_Debt_Net_Purchase_Sales,MF_Debt_Gross_Sales,MF_Debt_Gross_Purchase
1 Jan 2020,1317,970,347,2384,5785.5,8169.5
2 Jan 2020,2459,2326.2,132.8,2600.6,3406.5,6007.1
3 Jan 2020,2011.8,2395.8,-384,2306.2,5544.4,7850.6
6 Jan 2020,2718.1,2608.4,109.7,4170.8,4212.5,8383.3
7 Jan 2020,3232,2869.8,362.2,811.3,5848,6659.3
8 Jan 2020,3953.2,3026.2,927,1105.4,5062.8,6168.2
9 Jan 2020,4108.7,3462,646.8,610.9,6771,7381.9
10 Jan 2020,3503.7,3574.6,-70.9,326.3,6734.6,7060.9
13 Jan 2020,3621.3,3318.5,302.8,666.6,6968.2,7634.8
14 Jan 2020,2960.3,3455.8,-495.6,639,8453.6,9092.6
15 Jan 2020,3084,2889.9,194.1,397.8,9294.6,9692.4
16 Jan 2020,2740.7,2504.5,236.2,1971.8,6967,8938.8
17 Jan 2020,2781.7,2789.3,-7.6,1588,7357.8,8945.8
20 Jan 2020,2538,3557.7,-1019.7,1372.2,5618.2,6990.3
21 Jan 2020,2348.2,2599.2,-251.1,1810.3,6550.3,8360.6
22 Jan 2020,3147.9,3571.4,-423.5,3308.8,6026,9334.8
23 Jan 2020,5798.3,6721.7,-923.4,632.8,6609.5,7242.3
24 Jan 2020,2767,2279.1,487.9,1127.9,6212,7339.9
27 Jan 2020,2586,2738.5,-152.6,2161.9,4586.3,6748.2
28 Jan 2020,3361.8,2608.2,753.6,-944.3,11194.8,10250.5
29 Jan 2020,4853.4,3472.7,1380.7,-2227.4,11968.4,9740.9
30 Jan 2020,4018.6,8259.1,-4240.4,3931.7,7782.7,11714.4
31 Jan 2020,5811.3,2339,3472.3,1440.7,7327.6,8768.3
1 Feb 2020,2987.5,3211.5,-224,1.4,0.2,1.6
3 Feb 2020,3763.9,3177.7,586.2,3273.3,5971.6,9244.9
4 Feb 2020,2941,2878.2,62.9,1141.9,9494.6,10636.5
5 Feb 2020,3904.8,4078.8,-174,-31.7,9121.6,9090
6 Feb 2020,3425.7,3356.1,69.7,3443.7,7770.6,11214.3
7 Feb 2020,2998.5,3206,-207.5,1380.4,7554.3,8934.7
10 Feb 2020,2236.6,2656,-419.4,1363.9,5953.3,7317.2
11 Feb 2020,3029.4,2587.4,442,1324,10982.2,12306.2
12 Feb 2020,3114.5,2665.2,449.3,377.6,8743,9120.6
13 Feb 2020,2176.1,2872.1,-696,2611.5,8612.5,11224
14 Feb 2020,3280.9,2781.9,499,455.7,8028.5,8484.2
17 Feb 2020,2483.1,2291.1,192,297,10472.2,10769.2
18 Feb 2020,3304.8,3129,175.9,1124.2,9925.7,11049.9
19 Feb 2020,2624.8,1917.8,707,0.6,0.6,1.2
20 Feb 2020,2503.9,3260,-756.1,1196,7054.2,8250.2
