Date,FII_Equity_Gross_Purchase,FII_Equity_Gross_Sales,FII_Equity_Net_Purchase_Sales,FII_Debt_Net_Purchase_Sales,FII_Debt_Gross_Sales,FII_Debt_Gross_Purchase
1 Jan 2020,359,-1.4,577.2,934.8,3063.7,332.7
2 Jan 2020,1088.2,-1348.8,4927,4666.4,2650.3,-83.1
3 Jan 2020,1302,-1299.1,443.6,446.5,2379.7,457.5
6 Jan 2020,-19,-3417.6,-2101,-5537.6,5206.4,925.9
7 Jan 2020,-612.9,-562.2,2893.8,1718.7,911.7,-261.8
8 Jan 2020,-344.8,65.1,-2256.1,-2535.8,2004.4,-28
9 Jan 2020,156.5,96.7,7777.9,8031.1,502.7,-755
10 Jan 2020,658.6,-271.6,524.6,911.6,1090.7,835.3
13 Jan 2020,120.8,-1128.9,325.2,-682.9,754.7,-214.7
14 Jan 2020,-331.1,425.4,1732.5,1826.8,-87.8,-231.2
15 Jan 2020,63.3,-885.3,-1733,-2555,494.6,-97.3
16 Jan 2020,9732,213.5,-267.3,9678.2,2065.9,-142.1
17 Jan 2020,-1420.6,-3115.2,189.6,-4346.2,1529.5,-50.9
20 Jan 2020,1301.5,93.1,-481.1,913.5,85.1,-267.4
21 Jan 2020,1696.5,-1163.6,-3173.9,-2641,2591.9,1032.7
22 Jan 2020,28.8,926.9,-2532.3,-1576.6,3009.9,124.6
23 Jan 2020,1497.2,255.5,2645.9,4398.6,373.7,664.3
24 Jan 2020,595.4,807.3,-1323.8,78.9,1662.4,46.6
27 Jan 2020,-174.2,-172.8,-2527.6,-2874.6,836.4,-1172.9
28 Jan 2020,-785.9,-1223.6,-2048.1,-4057.6,-408.6,-217.9
29 Jan 2020,-1442.2,293.5,927.9,-220.8,-901.4,-54.7
30 Jan 2020,625.9,308.7,2623.6,3558.2,304.7,613.4
31 Jan 2020,NA,NA,-1997.6,-1997.6,4860.6,-52.4
1 Feb 2020,-4375.6,-109.6,-2839.1,-7324.3,1014.9,1237.5
3 Feb 2020,1850.6,203.2,4066.4,6120.2,3988.9,129.4
4 Feb 2020,923,-3884.2,4128.9,1167.7,1938.6,733.8
5 Feb 2020,530.4,2216.7,1137.9,3885,234.6,440.3
6 Feb 2020,-101,5822.8,5359.4,11081.2,2638.8,-874.6
7 Feb 2020,9943.7,3676.5,867.9,14488.1,1012.4,-160.5
10 Feb 2020,-502.8,2149,1434.5,3080.7,952,7.5
11 Feb 2020,2157.4,89,2929.7,5176.1,820.8,-945.2
12 Feb 2020,-663,-743.3,2146.4,740.1,-311.1,-1138
13 Feb 2020,662.9,3242.7,412.8,4318.4,1629.8,-285.7
14 Feb 2020,-1142,1321.2,294.8,474,839.6,-115.1
17 Feb 2020,173.3,-118.4,937.1,992,239.4,-249.6
18 Feb 2020,NA,NA,-553.5,-553.5,122.4,-1177.7
19 Feb 2020,1293.2,-3247,3348,1394.2,-72.2,-779.8
20 Feb 2020,840.8,-1117.7,-1191.6,-1468.5,794.9,355
24 Feb 2020,-1735.7,-3187.1,-628.1,-5550.9,4194.3,915.1
25 Feb 2020,-1838.2,-60.1,-1335.5,-3233.8,333.8,91.3
26 Feb 2020,-3132.3,-2217,-776.6,-6125.9,4053.8,265.5
27 Feb 2020,-3064.8,-1939.8,5497.3,492.7,-3058,480.4
28 Feb 2020,-3340.8,-2265.3,366.1,-5240,3914.4,-1537.7
2 Mar 2020,-300.6,-1983.1,8243.6,5959.9,1847.2,1179.2
3 Mar 2020,-2328.9,-1585.7,3203.1,-711.5,4746.9,493.9
4 Mar 2020,-789.4,1454.6,12.4,677.6,4889.7,134.5
5 Mar 2020,-2237.7,307.1,3417.2,1486.6,2331,166.9
6 Mar 2020,-3480.8,43,-1140.3,-4578.1,5944.1,166.9
9 Mar 2020,-7012.3,919,2867.7,-3225.6,5428.3,-556.3
11 Mar 2020,-3483.7,-7950.4,1179.6,-10254.5,2638.8,998.7
